;;;;;;;;;
;;;;;Posters are uplpaded here https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/;Videos are named with the EasyChair number followed by the first author's last name;;;
26;2;3;Christopher Corcoran and Klaus Frieler;The swing groove continuum: Analysing jazz soloists’ swing eighths using the Weimar Jazz Database;"jazz
swing
microtiming
groove
corpus analysis";"Type of proposal: Oral presentation

Background
The jazz phrasing structure known as a ‘swing groove’ is traditionally associated with long-short beat subdivisions, so-called ‘swing eighths’, traditionally conceptualised as forming a 2:1 beat-upbeat ratio (BUR). A range of case studies suggests that jazz performers play with much more variable ratios averaging well below 2:1 (e.g., Benadon, 2006; Busse, 2002; Butterfield, 2011; Ellis, 1991; Friberg and Sundström, 2002; Iyer, 2002; Wesolowski, 2012). Based on limited data (phrases, recordings, performers, or participants), these studies offer a useful starting point but cannot provide more conclusive evidence. However, a wider corpus analysis for more comprehensive data is possible with the Weimar Jazz Database (WJD), a corpus containing 456 monophonic jazz solos recorded by 78 canonical performers (Pfleiderer et al., 2017).

Aims
We investigated the distribution of BURs in the WJD’s jazz solos, exploring three questions posed by the literature: whether soloists play their eighth notes with 2:1 BURs, whether BURs decrease with tempo, and how BURs vary by jazz style and performers. 

Methods
Taking into account the WJD’s FlexQ annotation algorithm settings (Frieler, 2017), we applied careful selection criteria to capture a variety of event sequences that can be considered ‘swung eights’. We used binary logarithms to linearize and symmetrise the resulting data of about 15,000 BURs, allowing us to apply Gaussian mixture models to accommodate for multi-modal distributions. Then we explored BUR distributions globally as well as by tempo, style, and performer. 

Results
Results confirm the indications offered by case studies in the literature that most jazz soloists perform with much more diverse rhythms than a steady 2:1 ratio: Soloists tend to play with much lower, only slightly uneven ratios on average. Ratios approaching 2:1 and higher are only used occasionally and systematically occur more frequently at moderate tempi and in relatively modern jazz styles. We found large individual differences between performers and solos. 

Conclusion
The data suggests that—for solos—the constant 2:1 swing ratio is a conceptual myth or at least an oversimplification. We suggest that its popularity may be based on diverse perceptual factors (e.g., earlier drum onsets, tempo preferences) that make soloists’ ratios seem more exaggerated than they are. Soloists possibly use high swing ratios for disruptively gaining listener attention at crucial moments, thereby controlling associated levels of groove and listener enjoyment (Corcoran, 2021). Given the multi-modality of BURs, often even within a single solo, it may make more sense to differentiate between `hard’ and ‘soft’ swing as stylistic devices based on microtiming manipulation.

Implications
Our data shows that swing behaviour differs across jazz styles, tempi, and canonical performers. The results suggest that high and low ratios are employed for different perceptual reasons. Consequently, our results contribute insights relevant to jazz and groove microrhythm studies, practical and historical jazz research, and topics in music perception.


Bibliography
Benadon, F. (2006). Slicing the beat: Jazz eighth-notes as expressive microrhythm. Ethnomusicology, 50(1), 73–98. ISSN: 00141836

Busse, W. G. (2002). Toward objective measurement and evaluation of jazz piano performance via MIDI-based groove quantize templates. Music Perception, 19(3), 443–461. DOI: 10.1525/mp.2002.19.3.443

Butterfield, M. (2011). Why do jazz musicians swing their Eighth Notes?. Music Theory Spectrum, 33(1), 3–26. DOI: 10.1525/mts.2011.33.1.3

Corcoran, C. (2021). Swinging the Score: Compositional and empirical investigations into the performance of swing and groove rhythms by score-reading musicians. (Doctoral dissertation, University of Cambridge). DOI: https://doi.org/10.17863/CAM.63648

Ellis, M. C. (1991). An analysis of “swing” subdivision and asynchronization in three jazz saxophonists. Perceptual and Motor Skills, 73, 707–713. https://doi.org/10.2466/pms.1991.73.3.707 

Friberg, A., & Sundström, A. (2002). Swing ratios and ensemble timing in jazz performance: Evidence for a common rhythmic pattern. Music Perception, 19(3), 333–349. DOI: 10.1525/mp.2002.19.3.333

Frieler, K. (2017). The FlexQ algorithm. In M. Pfleiderer, K. Frieler, J. Abeßer, W.-G. Zaddach, & B. Burkhard (Eds.), Inside the jazzomat. New perspectives for jazz research (pp. 319–322). Mainz: Schott Campus.

Iyer, V. (2002). Embodied mind, situated cognition, and expressive microtiming in African-American Music. Music Perception, 19(3), 387–414. DOI: 10.1525/mp.2002.19.3.387

Pfleiderer, M. (2017). The Weimar Jazz Database. In M. Pfleiderer, K. Frieler, J. Abeßer, W.-G. Zaddach, & B. Burkhart (Eds.), Inside the Jazzomat: New Perspectives for Jazz Research (pp. 19–40). Mainz: Schott Music GmbH & Co. KG.

Wesolowski, B. C. (2012). Testing a model of jazz rhythm: Validating a microstructural swing paradigm (Doctoral dissertation, University of Miami). Retrieved from https://scholarlyrepository.miami.edu/cgi/viewcontent.cgi?article=1747&context=oa_dissertations";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9326%20corcoran.mp4?vrtx=view-as-webpage;
25;2;4;Dongho Kwak;Music for cells: The human body as a rhythm machine;"Rhythmicity
Physiology
Intercellular entrainability";In recent years, mechanobiology has developed a new interest in using sound pressure waves as a mechanical stimulus on cells. Several studies report the biological effects of simple tones (e.g., a sine tone) and music played through speakers on cells in vitro. The outcomes are intriguing, but there are many challenges ahead. One challenge is in the physiological relevance of the acoustic stimulus used in the experiments. This paper explores different rhythmic features of the human body to find a more pertinent model that can be used in acoustic-mechanobiology research. We first aim to give an overview of the rhythmicity that is found in the human body. For example, rhythmicity is typically found where there is a vital function for the body, including the heart, cardiovascular system, respiration, stomach (basal electrical rhythm), and locomotion. Secondly, we explore rhythmicity at the cell level and intercellular entrainability. In general, pacemaker cells are directly related to generating periodic patterns that are detected as rhythms. There have been studies of muscle cell rhythms. However, rhythmicity and contractility in non-muscle cells are less explored. Some recent studies examine the long-range contractility of non-muscle cells. After the overview and exploration of different types of cellular rhythmicity, we investigate how the rhythms are generated at the cellular level and explore whether cells (both muscle and non-muscle cells) show entrainability. The aim is to provide a model of physiological rhythmicity that can aid in developing and integrating this aspect of human physiology into life science research, specifically cell biology and mechanobiology.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9325%20kwak.mp4?vrtx=view-as-webpage;
21;2;5;Ece Kaya and Molly Henry;Individual differences in rhythmic entrainment and performance in temporal contexts requiring rapid adaptation;"rhythmic entrainment
motor synchronization
tapping
preferred rate
oscillator flexibility";"Rhythmic structure in speech, music, and other auditory signals helps us track, anticipate, and understand the sounds in our environment. One candidate mechanism that might support our ability to interact with auditory rhythms by synchronizing to them, is an internal – neural or perceptual – oscillator [1]. In this study, we focused on two properties of internal oscillators as well as their individual differences: preferred rate refers to the default rate of an oscillator in the absence of any input, and flexibility is the oscillator's ability to adapt to changes in the external rhythmic context.

In order to characterize preferred rate and flexibility on an individual-by-individual basis, we conducted a synchronization–continuation tapping experiment where participants tapped to isochronous sequences of 5 stimuli and continued tapping at the same rate for another 7 intervals. Each participant tapped at 401 unique rates spanning the tempo range of 1–5 Hz (i.e., 200–1000 ms). Trial-to-trial differences in rate were maximized to challenge participants' ability to adapt. This study thus possessed three unique features relative to previous synchronize–continue tapping experiments: 1) large rate range, 2) drastic trial-to-trial rate changes, and 3) short trials. Each participant completed a second, identical session after minimum of 5 days in order to assess test–retest reliability of the paradigm. 

We expected that preferred rate would manifest as best tapping performance when the stimulus rate matched an individual's preferred rate [2]. Moreover, we predicted that individuals with more flexible oscillators would be better at adapting to drastic rate changes. Indeed, we observed local minima in tempo-matching error during continuation, indicating better performance, at individually specific rate ranges. Moreover, for most participants, the rate range yielding best performance was consistent across sessions, indicating a reliable measure of preferred rate. 

In order to explore the effects of drastic trial-to-trial rate changes on performance, we assessed how single-trial synchronization errors depended on the direction and magnitude of rate-change from the preceding to the current trial. Linear fits quantified the extent of this dependence. 

Slopes from these linear fits showed that synchronization error significantly increased with rate-change magnitude, but only when the rate change was in a negative direction, that is, when the current trial was faster than the previous trial. For single participants, larger slopes across negative rate-change trials indicate a larger effect of rate-change on tapping performance, and thus failures in adaptation to changing temporal context. We thus consider this linear slope as a candidate measure for oscillator “inflexibility”. Critically, linear slopes differed between individuals consistently across sessions, supporting the characterization of slope as a reliable measure of oscillator flexibility. 

Although preferred rate has received some attention in the literature [2,3], oscillator flexibility has been an overlooked individual difference with the potential to index adaptability in difficult real-world listening situations, such as tracking speech in a noisy environment. As such, characterization of preferred rate and oscillator flexibility might provide a window onto some of the listening difficulties that come along with age.


REFERENCES

[1]	Henry, M. J., Herrmann, B., & Obleser, J. (2014). Entrained neural oscillations in multiple frequency bands comodulate behavior. Proc Natl Acad Sci U S A, 111(41), 14935-14940. doi:10.1073/pnas.1408741111

[2]	McAuley, J. D., Jones, M. R., Holub, S., Johnston, H. M., & Miller, N. S. (2006). The time of our lives: life span development of timing and event tracking. J Exp Psychol Gen, 135(3), 348-367. doi:10.1037/0096-3445.135.3.348

[3]	Drake, C., Jones, M. R., & Baruch, C. (2000). The development of rhythmic attending in auditory sequences: attunement, referent period, focal attending. Cognition, 77(3), 251-288. doi:10.1016/s0010-0277(00)00106-2";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9321%20kaya.mp4?vrtx=view-as-webpage;
124;2;6;Joshua Hoddinott and Jessica Grahn;Neural representations of rhythm and beat perception;"Beat
Rhythm
Basal ganglia
Pre-motor cortex
Supplementary motor area
fMRI
MVPA";"Humans spontaneously perceive an underlying pulse, or “beat,” arising from the rhythmic structure in music. Functional magnetic resonance imaging (fMRI) studies show that motor regions of the brain, such as the basal ganglia, supplementary motor area, and premotor cortices have increased activity when people listen to rhythms with a strong beat (Grahn & Brett, 2007). However, previous fMRI studies have generally used univariate analyses, which investigate activity averaged over voxels in a region, whereas multivariate techniques can identify patterns of covariance across voxels that allow greater sensitivity and better identification of stimulus features that predict brain–behavior relationships. Thus, here we use multivariate pattern analysis to compare neural activity patterns elicited by rhythms with strong, weak, or no beat. The results enable us to determine which neural regions are sensitive to beat strength and will allow us to characterize how these regions respond to varying degrees of beat strength. One possibility is that motor areas ‘tune’ activity patterns to each strong-beat rhythm, exhibited by high dissimilarity between activity patterns elicited by individual strong-beat rhythms, and low dissimilarity between patterns elicited by individual weak- and non-beat rhythms; alternatively, motor areas may activate in highly-correlated patterns for strong-beat rhythms, but may exhibit highly-dissimilar activity patterns for rhythms with weak or no beat. Preliminary results reveal that multivariate patterns do indeed appear sensitive to individual rhythms, but may also distinguish between rhythm types, building on previous univariate work.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93124%20hoddinott.mp4?vrtx=view-as-webpage;
107;2;7;Lana Delasanta, Dobri Dotov, Edward Large and Laurel Trainor;Adapted Kuramoto model successfully captures group drumming variability;"Kuramoto
Collective performance
Modeling
Dynamics
Group dynamics
Nonlinear dynamics
Oscillators";"Rhythm affords the ability to coordinate and synchronize, for which there are numerous examples in humans. One such example, group drumming, allows us to examine the dynamics of rhythmic coordination and synchrony in human groups. When investigating four individuals drumming to an isochronous rhythm individually, in a duet, and in a quartet, results showed that variability among the individual drummers was higher in the quartet condition than it was as individuals [1]. 
When presented with this experimental research paradigm, we sought to use nonlinear dynamics to model the phenomenon found during group drumming. To do so, we utilized the Kuramoto model of nonlinearly coupled oscillators, in which synchronous behavior emerges from a population of oscillators with a distribution of natural frequencies [2]. For the purpose of this research, we consider each oscillator in the model to be one drummer, and each drum hit occurs when the oscillation reaches a phase of zero. However, during group drumming, each individual is not continuously coupled as the original model suggests, which required us to modify the model to allow for pulse coupling (i.e., oscillators synchronizing at discrete points in time). 
We were able to modify the Kuramoto model by replacing the continuous coupling function with a pulse function to mimic the sound of a drum hit. A gamma function is used to simulate a drum hit’s acoustic envelope to which the individual drummers synchronize (Figure C). This adapted model is capable of simulating previous data (Figure A) [1], as shown in Figure B. Ongoing and future research will utilize a larger group size during drumming to better adjust the model to predict synchronous behavior among more performers and more data types.

References
[1] Dotov, D. & Trainor, L. (2019). Collective performance facilitates anticipatory synchronization in group drumming. Rhythm Perception and Production Workshop (RPPW). Conference conducted at the meeting of RPPW, Michigan, USA.
[2] Strogatz, S. H. (2000). From Kuramoto to Crawford: exploring the onset of synchronization in populations of coupled oscillators. Physica D: Nonlinear Phenomena, 143(1-4), 1-20";https://youtu.be/7TG_j3MLS_k;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93107%20delasanta.mp4?vrtx=view-as-webpage;
119;2;8;Olivier Lartillot and Mats Sigvard Johansson;Automated beat tracking of Norwegian Hardanger fiddle music;"beat tracking
Hardanger fiddle
rule-based
metre";"Norwegian Hardanger fiddle music is typically played by a solo fiddler, without rhythmic accompaniment except for the musician’s discreet foot stomping. Some of its repertoire features an asymmetrical ternary meter, with an uneven proportion of durations between the three beats of each bar, and with varying degrees of fluctuation of those proportions throughout each piece. In addition, there is often no clear audible onset corresponding to the beat position. As a result, many listeners find it difficult to hear the beats without experience from playing or dancing, and the beat onsets cannot be properly tracked by state-of-the-art beat trackers.

The aim of this study is to develop a computational model of beat tracking of Hardanger fiddle music. Due to the rhythmic irregularity of the music, computational approaches relying on the detection of regular periodicities cannot be used. The proposed strategy adopts a cognitive perspective, modeling processes that progressively infer beats while scanning the music sequence chronologically. To each successive note is associated a tentative metrical position, which is determined based on a set of rules, using various input data such as (1) the ratio of the inter-onset interval (IOI) from the previous beat onset to the current note onset and the preceding inter-beat-onset interval and (2) the ratio of the IOI from the bar onset to the current note onset and the preceding inter-bar-onset interval. A sequential repetition of notes of same rhythmic value (such as eighth notes) induces a specific configuration guiding the subsequent extension of the sequence. Multiple beat tracking scenarios can coexist at particular moments in the tune for very short periods. In particular, the very first notes at the beginning of the tune may initially imply conflicting metrical structures and tempi. The conflicting parallel beat tracking scenarios are progressively extended note after note in parallel. A scenario ends whenever it reaches a dead-end situation where the music is in total contradiction. Multiple scenarios are fused when they are continued exactly the same way, and only the scenario deemed the most congruent is retained.

One particularity of Hardanger fiddle music is that beat onsets are not precise points in time but rather diffuse temporal extension, closely related to the notion of beat bin (Danielsen, 2010). Sometimes, multiple successive notes can all be considered as possible onsets for a given beat (Johansson, 2010; Stover et al., 2021). This multiplicity of beat onsets has been integrated into the model. 

Most of the analysis can be carried out using solely note onset time as input data, although more challenging cases occasionally require taking into account note duration or higher structure such as motivic repetition. This indicates that a proper beat tracker needs to be integrated as a module within a comprehensive music analysis framework, with bidirectional dependencies with the other modules of the framework.  The model has so far been tuned and tested on a couple of tunes only. Its application to the automated analysis of a larger corpus is under investigation.

Danielsen, Anne (2010). “Here, there, and everywhere. Three accounts of pulse in D'Angelo's 'Left and Right’.” In A. Danielsen (Ed.), Musical Rhythm in the Age of Digital Reproduction. Farnham: Ashgate/Routledge, UK.
Johansson, Mats (2010). “The Concept of Rhythmic Tolerance – Examining Flexible Grooves in Scandinavian Folk-fiddling.” In A. Danielsen (Ed.), Musical Rhythm in the Age of Digital Reproduction. Farnham: Ashgate/Routledge, UK. 
Stover, Chris; Danielsen, Anne & Johansson, Mats (2021). “Bins, Spans, Tolerance: Three Theories of Microtiming Behavior.” [under review in Music Theory Spectrum].";https://youtu.be/Fe_95MIwhQE;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93119%20lartillot.mp4?vrtx=view-as-webpage;
3;2;9;Olivier Senn, Dawn Rose, Toni Bechtold, Lorenz Kilchenmann, Florian Hoesl, Rafael Jerjen, Antonio Baldassarre and Elena Alessandri;Preliminaries to a psychological model of musical groove;"Groove
Entrainment
Body Movement";"Background

Although groove has been discussed in musical communities, and in jazz and popular music studies for many years (Berliner, 1994; Danielsen, 2006), its relevancy to music psychology has emerged relatively recently. In this field, groove is understood as a pleasurable urge in listeners to move their bodies in synchrony with the rhythm of music (Janata et al., 2012). A landmark study by Madison (2006) sparked a massive surge of scholarship dedicated to investigate what in music makes us move. The first fifteen years of psychological groove research yielded over fifty relevant studies, more than twenty of these published in the last two years.

Aims

Drawing on this vast literature, the “Psychological Model of Musical Groove” (Senn et al., 2019) was developed as a theoretical framework for groove research. This allows for the contextualisation of existing groove studies, and enables the interpretation of results from a breadth of perspectives.

Main contribution

The model postulates causal relationships between a variety of mental processes (listener’s sense of temporal regularity, rhythmic interest, listening pleasure, and the urge for body movement) that have been found to be relevant to groove. It also describes how synchronised body movement feeds back into these mental processes and increases the experience of groove. Finally, the model acknowledges that personal and situational aspects affect the experience of groove: listeners’ groove experience is influenced by their musical taste, cultural background, familiarity with a repertoire, the concrete listening situation and other aspects that are not directly related to the music and its auditory properties. 

Conclusions and Implications

The model is preliminary in the sense that it is a work in progress. The hypotheses about the mental processes involved in groove have yet to be empirically tested. The authors aim to conduct research studying the merits of these hypotheses in the coming years.  The model will be updated and adapted based on the results of future research and on discussions within the groove research community.


Literature

Berliner, P. F. (1994). Thinking in jazz: The infinite art of improvisation. University of Chicago Press.

Danielsen, A. (2006). Presence and pleasure: The funk grooves of James Brown and parliament. Wesleyan University Press.

Janata, P., Tomic, S. T., & Haberman, J. M. (2012). Sensorimotor coupling in music and the psychology of the groove. Journal of Experimental Psychology. General, 141(1), 54–75. https://doi.org/10.1037/a0024208

Madison, G. (2006). Experiencing Groove Induced by Music: Consistency and Phenomenology. Music Perception: An Interdisciplinary Journal, 24(2), 201–208. https://doi.org/10.1525/mp.2006.24.issue-2

Senn, O., Rose, D., Bechtold, T., Kilchenmann, L., Hoesl, F., Jerjen, R., Baldassarre, A., & Alessandri, E. (2019). Preliminaries to a Psychological Model of Musical Groove. Frontiers in Psychology, 10(1228), 1–5. https://doi.org/10.3389/fpsyg.2019.01228";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%933%20senn.mov?vrtx=view-as-webpage;
66;2;10;Rolf Inge Godøy;Impulse-driven rhythm objects;"rhythm objects
sound objects
intermittent
multimodal
motor control";"Various recent research in movement science has converged in suggesting that human motor control is intermittent, i.e. that skilled and rapid body motion require piecewise pre-planning combined with point-by-point triggering of such anticipatory planned chunks of body motion (Loram et al. 2014). Know by various names such as open loop, feedforward, or serial ballistic, the idea of intermittent control is based on constraints of our motor system, first of all that the motor system is too slow to allow for continuous feedback control in demanding tasks, but also on the need for a contextual activation spreading of preparatory motion of the effectors (fingers, hands, vocal apparatus) for upcoming events, known as coarticulation. Based on our motion capture data of musical performance, the aim of this paper is to show how these constraints are manifest in what we call impulse-driven rhythm objects, i.e. in holistically conceived and perceived multimodal chunks of combined motion and sound.

Besides drawing on insights from movement science, this object focus also has a background in notions of objects and/or gestalts in music (Schaeffer 1966), with sound objects typically in the duration range of approximately 0.3 to 3 seconds, recognizing the overall shape of the sound object as crucial for both the generation and perception of musical features. With an added related idea of action gestalts in motor control (Klapp and Jagacinski 2011), we can speak of multimodal sound-motion objects where the sensations of sound are closely linked with sensations of body motion and effort.

To better understand the manifestation of such impulse-driven rhythm objects, it will be useful first to give an overview of the basic ideas of intermittent motor control and to provide some plausible theoretical framework for how such piecewise anticipatory motor control might work, and then go on to demonstrate how motion capture data testifies to rather strong consistencies in the performance, suggesting a high degree of pre-planning. Also, this motion capture data can demonstrate how the workings of coarticulation are manifest in preparatory motion (e.g. fingers/hands move ahead to optimal position for upcoming tone onsets (Godøy 2014)). This is typically evident in fast rhythm objects such as ornaments, where due to the required speed, it will not be possible to make corrections mid-course, but where error corrections will have to wait until the next instance of the ornament. Lastly, the element of effort in the performance of such rhythm objects may be indirectly inferred from the motion capture data, but better explored with EMG data, i.e. muscle activity data. As demonstrated with our own and other EMG data, this concerns in particular optimization of motion, where the holistic anticipatory control of motion chunks may contribute to minimizing energy cost and enhancing sense of fluency (Gonzales Sanchez et al. 2019).

References
Loram, I. D., van De Kamp, C., Lakie, M., Gollee, H., and Gawthrop, P. J. (2014). Does the motor system need intermittent control? Exercise and Sport Science Review, Vol. 42, No. 3, pp. 117-125.
Godøy, R. I. (2014). Understanding Coarticulation in Musical Experience. In M. Aramaki, M. Derrien, R. Kronland-Martinet & S. Ystad (Eds.), Sound, Music, and Motion. Lecture Notes in Computer Science Volume 8905 (pp. 535-547). Berlin: Springer. 
Gonzalez Sanchez, Victor Evaristo; Dahl, Sofia; Hatfield, Johannes Lunde & Godøy, Rolf Inge (2019). Characterizing movement fluency in musical performance: Toward a generic measure for technology enhanced learning.  Frontiers in Psychology.  ISSN 1664-1078.  10 . doi: 10.3389/fpsyg.2019.00084
Klapp, S. T., and Jagacinski, R. J. (2011). Gestalt Principles in the Control of Motor Action. Psychological Bulletin, Vol. 137, No. 3, pp. 443–462. 
Schaeffer, P. (1966). Traité des objets musicaux. Paris: Éditions du Seuil.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9366%20godoy.m4v?vrtx=view-as-webpage;
67;2;11;Sara D'Amario, Anna Niemand, Werner Goebl and Laura Bishop;Changes in rhythmic body motion in highly-trained piano-singing duos;"ensemble performance
interpersonal interactions
motion capture
joint actions";"Music ensemble performances feature complex displays of rhythmic body motions, supporting sound production, interpersonal communication and interaction, and music expressiveness. Previous investigations, mostly focused on instrumental ensembles and dyadic music-making tasks, suggest that body gestures might be related to participants' familiarity with each other and the music, piece structure, and empathic perspective taking (EPT) of the participants. Nevertheless, the nature of these relationships has not been fully understood yet. 

This research investigates changes in rhythmic body motion in semi-professional piano-singing duo performances, and how these changes relate to piece characteristics as well as musical roles and empathic profile of the performers. Specifically, this research focuses on the rhythm patterning of moment-to-moment changes, measured per bar, in quantity of motion.

We tested the hypothesis that greater within-performer variability would emerge at more climactic parts of the pieces, and that patterns of body motion would recur within the pieces (which had repetitive song structures). It was also expected that performers would have a measurable effect on each other’s body motion, such that individual musicians would move differently when playing the same pieces with different people. In particular, we tested whether pianists, in their role as accompanists, would be more affected by the singers, in their role as soloists, than vice versa. Finally, we conjectured that duos in which both musicians had low EPT scores would show lower quantities of body motion than duos with high scores, as suggested in studies analysing the impact of EPT on interpersonal coordination (Novembre, Mitsopoulos and Keller, 2019).

Advanced piano and singing students were recruited. Duos were formed based on the participants' EPT scores, pre-assessed using the Interpersonal Reactivity Index questionnaire. High and low EPT groups were created, and each musician participated in two laboratory sessions, each time paired with a co-performer from the same or the other EPT group. Participants rehearsed two different pieces, Faure's  Automne and Schumann's Die Kartenlegerin, for about 15 minutes each. Each duo performed the pieces one time before and three times after rehearsal. Motion capture of the musicians' upper bodies, eye-gaze, breathing, heart activity, video, audio, and piano MIDI recordings of the repeated performances were collected. Data collection is ongoing: data from 8 duos were collected so far, and 16 more duos are planned. Quantity of upper body motion was computed using motion capture recordings, to analyse changes in relation to musical roles, structural characteristics of the piece, and EPT profile. The quantity of motion, summed across markers (14 per musician) and performers per second, and then averaged per bar, was compared across piece sections, repeated performances, and within and across duos, by implementing multilevel linear-models. The dependencies between musicians within duos was measured using Granger causality analysis.  

The analysis is underway. Results from this research are expected to clarify: i) how motion-based information flow relates to the musical roles of the singer and pianist and the empathic profile of the musicians, and ii) how rhythms in quantity of motion are shaped by repetition in musical structure and expressive intensity. 

References: Novembre, G., Mitsopoulos, Z., & Keller, P. (2019). Empathic perspective taking promotes interpersonal coordination through music. Scientific Reports, 9: 12255.

Type of proposal: Spoken paper";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9367%20damario.mp4?vrtx=view-as-webpage;
114;2;12;Tzu-Han Zoe Cheng and John Iversen;Individual differences in spontaneous motor tempo correlate to neural responses in sensorimotor synchronization task;"Sensorimotor synchronization (SMS)
Individual difference
Motor-auditory interactions
Beta-band oscillations";"Sensorimotor synchronization (SMS) is a common phenomenon in human activities such as marching, clapping or dancing to the music. SMS requires precise temporal coordination of perception, prediction and action, but abilities vary from person to person. Wing and Kristofferson (1973) proposed that errors in SMS can be partitioned between motor execution error and timekeeper error; these errors may be different among Individuals with differing stability of intrinsic rhythms. It has further been suggested that SMS ability is related to more precise temporal encoding of sounds. So, stable tappers compared to unstable tappers, stable tappers may have better auditory encoding of the sound, representation of intrinsic timing, or better motor execution. Here, we seek to disentangle these possible contributions by investigating the neural correlates of behavioral performances: We seek to understand how individual differences in SMS relate to individual differences in temporal dynamics of auditory and motor processing and, as well as differences in dynamic relationships between auditory and motor processing. To do this, we isolated the maximally independent components (ICs) in each individual best corresponding with motor and auditory cortical activity, then observed the neural correlates of distinct SMS accuracy across individuals. Participants performed three tasks related to SMS: a) spontaneous tapping at their preferred tempo without auditory stimulus (i.e. spontaneous motor tempo, SMT task, instructed to tap as stably as possible); b) arrhythmic auditory stimuli (150 drum stroke stimuli with IOI randomized between 1 to 1.5 seconds, i.e. Random sound task); c) SMS with an isochronous stimuli (drum strokes, 600 ms IOI, instructed to synchronize as precisely as possible). We grouped the subjects (N=25) into stable and unstable tappers (n=12 in each group) based on the variability of the inter-tap interval (standard deviation of ITI) in the SMT task (median = 37.03, range from 14.36 ms to 205.04 ms). Event-related changes in spectral power for auditory and motor ICs and directional causal flow connectivity analysis (i.e. direct directed transfer function) in the beta-band (20 to 35 Hz) were computed respectively for the stable and unstable tappers. During SMS, preliminary results showed that stable tappers had significantly stronger beta desynchronization in motor ICs followed both sound and tap onsets, as well as stronger beta band causal flow from auditory and motor ICs. The comparison between stable and unstable tappers did not reveal any differences in Random sound tasks, suggesting auditory encoding is similar between the groups. These findings show that neural underpinnings, highlighting in ERSPs of the motor ICs, of SMS vary among individual’s intrinsic stability. This suggests that unstable and stable tappers may have similar auditory encoding, but show differences in activity related to motor execution and potentially a different representation of beats based on auditory-motor interactions.";https://youtu.be/kaxNfGf_BYg;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93114%20cheng.mp4?vrtx=view-as-webpage;
130;2;13;Yuka Saito and Jun Kawahara;Beat patterns determine inter-hand differences of synchronization error  in a bimanual coordination tapping task.;"Negative mean asynchrony
synchronization
bimanual coordination
tapping
handedness";"A previous study (Fujii et al., 2011) indicated that participants tapped a beat pattern with the right hand earlier than other beat patterns with other effectors, whereas a different study (Ascharsleben & Prinz, 1995) demonstrated the right and left hands tapped beat patterns simultaneously without any synchronization errors in a bimanual-tapping task. We examined the hypotheses that the inter-hand difference of the synchronization error occurred due to the handedness or a specificity of the beat pattern recruited in Fujii et al.’s (2011) because they maintained the hand-beat assignments throughout the session. We predicted that if the beat pattern determines the difference, the beat pattern with longer tap intervals should be tapped earlier than the beat pattern with shorter intervals regardless of handedness. Otherwise, the beat patterns tapped by the non-dominant hand should be tapped earlier than those tapped by the dominant hand regardless of the beat patterns to be tapped. Participants’ tap timings were measured by two force sensing registers, one for the right and the other for the left index finger. Two different beats (i.e., half beat vs. base beat in Experiment 1 and double beat vs. base beat in Experiment 2) were assigned to the right and left index fingers and participants were instructed to tap the two different beats to auditory pacing signals (60 bpm and 100 bpm) with both hands. The half beat represents the beat pattern to be tapped once per two auditory pacing signals, the double beat represents the beat pattern to be tapped twice per an auditory signal, and the base beat represents the beat pattern with identical interval to auditory pacing signals. The comparison between the half beat and the base beat shows that the base beat was tapped earlier than the half beat at any tempi. We suggest that a beat pattern with shorter intervals resulted in earlier tapping. However, the beat with identical intervals to auditory pacing signals could be earlier than the beat pattern with different intervals as an alternative interpretation. An alternative explanation was excluded and the first interpretation was supported by Experiment 2 that adopted a double beat with which participants tapped twice per an auditory pacing signal. If the beat pattern with shorter intervals was tapped earlier than the beat pattern with longer intervals, the double beat should be tapped earlier than the base beat. If the beat pattern with the identical beat with auditory pacing signals was tapped earlier, the base beat should be tapped earlier. The results of Experiment 2 demonstrated that a shorter interval beat pattern was tapped earlier, although participants tapped the same beat as the base beat. The distribution of synchronization errors of each tap showed that the beat pattern with shorter intervals was tapped earlier even when participants tapped with single hand and it would support the model of central timing control of bimanual tapping (Vorberg & Hambuch, 1984; Hestermann et al., 2018).";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93130%20saito.mp4?vrtx=view-as-webpage;
