;16;Entrainment (E2) ;Benjamin Morillon;Maja Foldal, Sabine Leske, Alejandro Blenkmann, Tor Endestad and Anne-Kristin Solbakk;Attentional modulation of alpha- and beta oscillations during perception of auditory rhythms – an EEG study;"Alpha-beta oscillations
Auditory selective attention
Electroencephalography
Lateralization
Temporal prediction";Hemispheric lateralization of alpha (7-13 Hz) and beta (14-24 Hz) oscillations is known to index voluntary allocation of spatial attention. However, it is largely unknown how attention adapts to temporal dynamics in sound stimuli. To address this issue, we investigated how hemispheric lateralization of alpha- and beta-oscillations is influenced by temporal structure and predictability in auditory stimuli. We recorded EEG while healthy adult participants listened to rhythmic tone sequences. Dichotic tone presentation allowed manipulation of spatial-temporal attention, as specific tones were presented to separate ears, also causing the time between tones to differ between the ears. Specifically, each ear received isochronous stimuli, but at different presentation rates. Together, this formed rhythmic sequences comprising a 3- versus 4-beat meter. Participants responded to stimulus-onset-asynchrony (SOA) deviants (-90 ms) for given tones in the attended rhythm. The purpose of inserting SOA deviants was to manipulate predictability, which remained high in blocks where these were inserted rarely, and decreased in blocks containing more frequently inserted SOA deviants. The results revealed lateralization of beta-power, according to attention direction, reflected as ipsilateral enhancement and contralateral suppression. No effect was found for the alpha-band. The beta-lateralization effect was larger in high- vs. low-predictability conditions, and synchronized more strongly to the temporal structure of attended than unattended tones. The present study demonstrates a role of beta-oscillations during attention to rhythmic stimuli that have varying temporal structures. Differently from previous studies, we presented stimuli as continuous rhythms containing both relevant and irrelevant temporal structures. Hence, the alignment of beta-lateralization with the temporal structure of attended sounds index voluntary control of attention to sound timing.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/16%20foldal.mov?vrtx=view-as-webpage;;
;56;Entrainment (E2) ;Benjamin Morillon;Fleur L. Bouwer, Johannes J. Fahrenfort and Heleen A. Slagter;Neural entrainment underlies beat-based, but not pattern-based temporal expectations in rhythm;"Expectations
Prediction
EEG
Entrainment
Beat
Pattern";"The brain continuously forms expectations about the timing of incoming information to optimize sensory processing. Such temporal expectations can be studied exceptionally well in musical rhythm, which can contain multiple types of structure that elicit temporal expectations. Rhythms often contain both a regular beat (eliciting “beat-based” expectations), and predictable patterns of absolute temporal intervals (eliciting “pattern-based” expectations). While beat-based expectations are thought to result from entrainment of low-frequency cortical oscillations to rhythmic input (Haegens & Zion Golumbic, 2018), it is unclear whether entrainment also underlies pattern-based expectations (Bouwer, Honing, & Slagter, 2020; Rimmele, Morillon, Poeppel, & Arnal, 2018). Here, we examined behavioral responses and EEG activity in silent periods following rhythmic sound sequences that allowed for beat-based or pattern-based expectations, or had random timing. In Experiment 1 (32 participants), we obtained ratings of how well probe tones presented at various times in the silence fitted the previous rhythm. While beat-based expectations affected fitness ratings for at least two beat-cycles, the effects of pattern-based expectations subsided after the expected time point in the silence. The effects of both beat-based and pattern-based expectations correlated with musical experience. In Experiment 2 (27 participants), using EEG, we found a CNV following the final tones of pattern-based and random sequences, but not beat-based sequences, suggesting that climbing neuronal activity may specifically reflect pattern-based expectations. Moreover, using a frequency tagging approach, we found enhanced power at the beat frequency for beat-based sequences not only during listening, but also during the silence, confirming a theoretical prediction of entrainment models. For pattern-based sequences, we observed enhanced power at pattern-related frequencies only during listening, but not during the silence. An additional analysis of the EEG data using multi scale entropy (MSE) as an index of signal regularity (Kloosterman, Kosciessa, Lindenberger, Fahrenfort, & Garrett, 2020) confirmed that the beat-based sequences elicited the most regular signal in the silence period. Finally, we show that multivariate pattern decoding may be a useful time-resolved alternative to spectral analyses in probing temporal expectations with EEG. Taken together, our findings suggest different mechanisms for expectations based on a regular beat and a rhythmic pattern, with the former but not the latter relying on neural entrainment.

Bouwer, F. L., Honing, H., & Slagter, H. A. (2020). Beat-based and memory-based temporal expectations in rhythm: similar perceptual effects, different underlying mechanisms. Journal of Cognitive Neuroscience, 32(7), 1221–1241. doi: 10.1162/jocn_a_01529

Haegens, S., & Zion Golumbic, E. (2018). Rhythmic facilitation of sensory processing: A critical review. Neuroscience and Biobehavioral Reviews, 86(March), 150–165. doi: 10.1016/j.neubiorev.2017.12.002

Kloosterman, N. A., Kosciessa, J. Q., Lindenberger, U., Fahrenfort, J. J., & Garrett, D. D. (2020). Boosts in brain signal variability track liberal shifts in decision bias. ELife, 9, 1–22. doi: 10.7554/ELIFE.54201

Rimmele, J. M., Morillon, B., Poeppel, D., & Arnal, L. H. (2018). Proactive sensing of periodic and aperiodic auditory patterns. Trends in Cognitive Sciences, 22(10), 870–882. doi: 10.1016/J.TICS.2018.08.003";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/56%20bouwer.mp4?vrtx=view-as-webpage;;
;116;Entrainment (E2) ;Benjamin Morillon;Tomas Lenc, Peter E. Keller, Manuel Varlet and Sylvie Nozaradan;Selective enhancement of metric periodicities in brain response to naturalistic music: reproducibility and transformation beyond low-level auditory processing;"EEG
rhythm
meter
frequency-tagging
naturalistic music";Music makes us move and temporal coordination of this movement is usually guided by a periodic pulse-like meter that can be perceived from the musical rhythm. Mounting evidence suggests that the internal representation of metric pulses relates to prominent periodicities in brain activity, as recorded in human participants using electroencephalography (EEG). However, this hypothesis has only been tested with brain responses to rhythmic stimuli specifically designed for experiment purposes. Here we show that prominent metric periodicities can also be captured in neural responses to naturalistic music, i.e., spectrotemporally rich auditory stimuli originally designed for dance and entertainment. Selective neural responses at metric periodicities were observed in response to music pieces inducing meter perception (as indexed after the EEG recording by capturing spontaneous finger tapping to the same musical stimuli). Importantly, this was the case even when there were no prominent cues to metric periodicities in the acoustic stimulus or in the responses simulated with a biologically-plausible cochlear model, thus controlling for stimulus-driven low-level confounds. However, metric periodicities were not prominent in brain responses elicited by music that did not induce stable meter perception. Finally, comparison across two EEG sessions recorded on two consecutive days revealed significant effects of familiarity. The prominence of metric periodicities in neural activity was highly reproducible across sessions, with the exception of responses to music that lacked prominent acoustic cues to the meter, in which metric periodicities were significantly enhanced on the second day. Together, these results further our understanding of the processes that transform internal representations from faithful tracking of the acoustic input towards periodic pulses that are fundamental to adaptive coordination behaviors in musical contexts.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/116%20lenc.mp4?vrtx=view-as-webpage;;
;85;"Entrainment (E4) 
";Bruno Laeng;Anna Fiveash, Simone Dalla Bella, Reyna Gordon and Barbara Tillmann;The multidimensionality of rhythm: Separable components of rhythmic abilities;"rhythm production
rhythm perception
rhythmic skills
BAASTA
rhythmic battery
individual differences
memory";"Humans have a remarkable capacity for perceiving and producing rhythm. Rhythmic competence is often viewed as a single concept, with participants who perform well or poorly on a single “rhythm task”. However, research is revealing a variety of sub-processes and competencies involved in rhythm perception and production which can be selectively impaired or enhanced. Our goal in the current study was to measure performance across a range of rhythm tasks to investigate whether different patterns of performance would emerge across tasks and individuals. Such patterns could reveal multiple, separable rhythmic competencies that may draw on distinct neural mechanisms. We tested 31 participants on nine rhythm perception and production tasks selected from different test batteries, including the battery for the assessment of auditory sensorimotor and timing abilities (BAASTA; Dalla Bella et al., 2017), the beat alignment test (BAT, Iversen & Patel, 2008, adapted from the BAASTA), the beat-based advantage task (BBA, Gordon et al., 2015) and two tasks from the Burgundy best musical aptitude test (BbMAT: perceptual synchronization and metric regularity; Bigand & Lalitte). 

Based on the literature, we expected to observe distinctions between (1) perception and production tasks, and (2) memory-based and beat-based rhythm perception tasks. Two principal component analyses (PCA) were run: one for perception, and one for perception and production. For the perception-only PCA, separate dimensions captured performance on the memory-based rhythm task (BBA) compared to beat-based rhythm tasks (BAT; BbMAT-synchronization; anisochrony detection). These dimensions were confirmed when the production tasks (unpaced tapping, synchronization-continuation, paced tapping - music, paced tapping - metronome) were added. Additionally, a separation was observed between production tasks, the memory-based rhythm perception task, and beat-based rhythm perception tasks. Hierarchical cluster analyses revealed distinct clusters of participants with different patterns of rhythmic competencies. The perception-only PCA revealed three clusters: participants who performed (1) poorly across memory-based and beat-based rhythm perception tasks (i.e., poor perceivers), (2) selectively well on the memory-based rhythm perception task (i.e., good memory-based perceivers), and (3) selectively well on beat-based rhythm perception tasks (i.e., good beat-based perceivers). Adding the production tasks did not change the cluster of poor perceivers. A small cluster of “poor tappers” also emerged, and a final cluster consisted of participants who performed well across all types of tasks. 
The current study suggests that production tasks, memory-based rhythm perception tasks, and beat-based rhythm perception tasks correspond to distinct dimensions of performance. Clusters of participants emerged with different patterns of rhythmic competencies, supporting the divergence of rhythmic skills and potential differences in underlying neural mechanisms supporting these skills. Based on these results, future studies investigating rhythm processing should include three short tasks that cover: (1) rhythm production (e.g., tapping to metronome/music), (2) beat-based rhythm perception (e.g., BAT), and (3) memory-based rhythm (e.g., BBA). If it is not possible to include a production task, the BAT may also be sufficient to capture beat-based timing, as it also contributed to the production dimension within the combined PCA. Implications for underlying neural mechanisms, links to pathology, and future research will be discussed. 

References 
Bigand, E., & Lalitte, P. (n.d.). Burgundy best Musical Aptitude Test. http://leadserv.u-bourgogne.fr/~cimus/
Dalla Bella, S., Farrugia, N., Benoit, C.-E., Begel, V., Verga, L., Harding, E., & Kotz, S. A. (2017). Baasta: Battery for the assessment of auditory sensorimotor and timing abilities. Behavior Research Methods, 49(3), 1128–1145. https://doi.org/10.3758/s13428-016-0773-6
Gordon, R. L., Shivers, C. M., Wieland, E. A., Kotz, S. A., Yoder, P. J., & Devin McAuley, J. (2015). Musical rhythm discrimination explains individual differences in grammar skills in children. Developmental Science, 18(4), 635–644. https://doi.org/10.1111/desc.12230
Iversen, J. R., & Patel, A. D. (2008). The Beat Alignment Test (BAT): Surveying beat processing abilities in the general population. In K. Miyazaki, M. Adachi, Y. Nakajima, & M. Tsuzaki (Eds.), Proceedings of the 10th International Conference on Music Perception and Cognition (pp. 465–468). Causal Productions.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/85%20fiveash.mp4?vrtx=view-as-webpage;;
;23;"Entrainment (E4) 
";Bruno Laeng;Anna Kasdan, Fabrizio Pizzagalli, Alexander Chern, Alyssa Scartozzi, Andrea Burgess, Sonja Kotz, Stephen Wilson and Reyna Gordon;Identifying a brain network for musical rhythm: A functional neuroimaging meta-analysis and systematic review;"meta-analysis
fMRI
rhythm
music";"Across multiple methodologies, a cortico-subcortical brain network including the basal ganglia, supplementary motor area (SMA), temporal cortices, cerebellum, and premotor cortex has been implicated in musical rhythm processing (Kotz et al., 2018). Much of the work contributing to such findings, however, has been conducted in small samples and it is unknown the extent to which each of these regions may be differentially recruited based on factors such as task design, stimulus complexity, or musical experience of the participants. We conducted a systematic review and meta-analysis of functional magnetic resonance imaging (fMRI) studies of musical rhythm processing using the Seed-based d mapping software (Albajes-Eizagirre et al., 2019). The goals of the meta-analysis were two-fold: to identify brain regions important for general musical rhythm processing and to identify regions modulated by rhythmic complexity. Critically, we parsed studies within the general musical rhythm meta-analysis by the type of baseline condition – studies either employed an unconstrained “rest/silence” baseline (9 experiments) or a low-level perceptual control baseline (e.g., non-beat or irregular rhythmic sequences) that controlled for auditory, motor, attentional, or other cognitive processes (9 experiments). 

We found that musical rhythm is largely represented bilaterally in the brain. The putamen bilaterally and the left inferior frontal gyrus, pars opercularis/ventral precentral gyrus emerged as significant clusters for the low-level control baseline subset of studies. A much larger network including these regions in addition to the cerebellum, SMA, inferior parietal lobule, precentral gyrus, superior and middle temporal gyri, and anterior insula bilaterally appeared for the silent baseline subgroup analysis. In the rhythm complexity meta-analysis (16 experiments), regions activated for more versus less complex rhythms were the bilateral SMA and anterior/mid cingulate gyrus region as well as the left cerebellum. Descriptive categorization of studies included in the meta-analysis indicated there was significant heterogeneity in terms of task type, stimulus type, and terms used to describe the stimuli (e.g., metric, non-metric, regular, irregular). Most commonly, studies used simple sound sequences (e.g., pure tone or woodblock rhythms) and employed perception (as opposed to production) tasks.

Results suggest that a brain network more specific to rhythm processing, and one not confounded by basic auditory or motor processes for example, consists of the putamen bilaterally and the left inferior frontal gyrus. Considering the differences in activation patterns based on baseline condition has important implications for future design of fMRI experiments investigating musical rhythm. Our findings advance the neural basis of musical rhythm and provide groundwork for understanding how the neurobiology of rhythm interfaces with other cognitive domains, including language and aesthetics.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/23%20kasdan.mp4?vrtx=view-as-webpage;;
;123;"Entrainment (E4) 
";Bruno Laeng;Reyna Gordon, Else Eising, Maria Niarchou, Research Team, Genlang Qtl-Gwas Working Group, Lea Davis, Nancy Cox and Simon Fisher;Examining shared genetic architecture between musical rhythm and language traits;"beat synchronization
genetics
language
reading
genome-wide association study
genetic correlation";"Individual differences in musical rhythm ability are related to phonological awareness, reading skill, spoken grammar, prosodic awareness, and second language acquisition within individuals with typical language development. Moreover, individuals with speech-language disorders such as dyslexia, developmental language disorder, and stuttering are more likely to have atypical rhythm skills. We hypothesized that shared genetic architecture may account for phenotypic associations between musical rhythm ability and language traits. To test this hypothesis, we used summary statistics from a large-scale genome-wide-association study (GWAS) on a musical rhythm phenotype (beat synchronization) from our collaboration with 23andMe, Inc. in 606,825 individuals (Niarchou et al., 2021, BioRxiv), and summary statistics from GWAS meta-analyses on five quantitative language traits conducted in the GenLang consortium in 11,176 to 19,946 individuals of European ancestry from 9 to 14 cohorts. LD-score regression genetic correlations were calculated between musical rhythm and each of five language-related phenotypes: non-word repetition, phoneme awareness, spelling, word reading, and non-word reading. All five language-related phenotypes showed significant positive genetic correlation with musical rhythm, with the highest genetic correlations with phoneme awareness (rg = 0.28, se = 0.05, p=1.02x10-7) and nonword repetition (rg = 0.38, se = 0.08, p=2.57x10-6), thus showing  genetic pleiotropy between rhythm and language-related phenotypes. Our findings support the Atypical Rhythm Risk Hypothesis (Ladanyi et al., 2020) and suggest that shared genetic architecture may be driving phenotypic associations between language and music. Ongoing work is examining if polygenic risk scores for rhythm can predict individual differences in spoken grammar ability and other spoken language traits.

Niarchou, M., Gustavson, D. E., Sathirapongsasuti, J. F., Anglada-Tort, M., Eising, E., Bell, E., McArthur, E., Straub, P., 23andMe Research Team, McAuley, J.D., Capra, J.A., Ullen, F., Creanza, N., Mosing, M., Hinds, D., Davis, L.K., Jacoby, N., Gordon, R. L. (2021) Unravelling the genetic architecture of musical rhythm: a large-scale genome-wide association study of beat synchronization. bioRxiv 836197 https://doi.org/10.1101/836197

Ladányi E, Persici V, Fiveash A, Tillmann B, Gordon RL (2020). Is atypical rhythm a risk factor for developmental speech and language disorders? WIREs Cognitive Science. e1528. (1-32) https://doi.org/10.1002/wcs.1528";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/123%20gordon.mp4?vrtx=view-as-webpage;;
;76;SMS (S3);Edward Large;Olivia Xin Wen and Molly Henry;Characterizing individuals’ oscillator flexibility: An online slider paradigm for temporal extrapolation;"oscillator flexibility
extrapolation
timing judgment
online slider
individual difference";"Background: The psychophysical task of mentally extrapolating a rhythm through a silent gap has been used to evaluate quantitative models of rhythm perception[1,2,3]. For example, patterns of timing-judgment errors can be used to estimate phase- and period-correction parameters for oscillator models[1]. We aim to use this task to estimate an unstudied oscillator property – flexibility: a flexible oscillator will maintain the stimulus dynamics through the silent gap, while an inflexible oscillator will decay quickly back to its own endogenous dynamics that might not match the stimulus. Thus, modeling timing-judgment errors under different experimental manipulations will allow us to estimate individuals’ oscillator flexibility. 
Aims: In 5 experiments, we validated and tested the versatility of an online slider paradigm to improve the efficiency and resolution of the extrapolation task over and above laborious in-lab approaches[2,3,4,5,6,7,8,9,10]. 
Method: Based on Manning and Schutz (2013, Experiment 1), stimuli in our base experiment comprised 13 context clicks presented with a 500ms inter-onset-interval (IOI), a silent gap of 3 IOIs, and a final click at one of six offsets: ±6%, ±18%, or ±30% re: “on time” based on extrapolation of the context IOI through the gap. Participants (N=134) rated the timing of the final click on a continuous slider with extremely early labeled on the left and extremely late on the right. Building on the base experiment, four experiments manipulated one parameter each: IOI (400, 500, 600ms), context length (13, 9, 5 clicks), gap length (3, 7, 11 IOIs), and offset range (±6%, ±18%, ±30%, ±42%, ±54%, ±66). Participants were first trained on two extreme offsets in each condition, and were instructed to avoid body movement and vocalization throughout.
Results: In all 5 experiments, participants accurately rated offset timing, replicating in-lab results[4]: earlier and later ratings corresponded to earlier and later offsets, respectively. This pattern generalized to a wider range of offsets, where participants used a larger slider range, proportional to offset timing. Both context-length and gap-length manipulations affected judgments of final-click timing. An earlier bias occurred for fast tempi (400 & 500ms) and short gap length (3 IOIs) relative to slow tempo (600ms) and long gap lengths (5 & 7 IOIs), suggesting an effect of global pacing of the experiment on local trial-by-trial timing judgments. On the other hand, timing judgments were unaffected by context length because all context lengths reinforced the same tempo and thus global temporal context. By examining a subset of participants (N=12) that took part in all but the base experiment, we demonstrated high reliability of timing ratings across sessions. 
Conclusion and Implications: We demonstrated that a continuous slider-rating paired with a temporal extrapolation task is reliable across multiple online studies and replicated in-lab results using a standard psychophysical method. The paradigm is adaptable to a wide offset range, affords better resolution in timing judgments than binary data, and is sensitive to influences of various experimental manipulations on offset-timing judgments. The improved efficiency and convenience of online data collection make the slider paradigm a promising tool to better study many timing-related topics.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/76%20wen-henry.mp4?vrtx=view-as-webpage;;
;111;SMS (S3);Edward Large;Harjo de Poel, Dobromir Dotov, Marije Harmsen, Liset van der Hulst and Claudine Lamoth;Synchronizing to adaptively variable oscillations;"entrainment
sensorimotor synchronization
chaotic behavior
complexity
human dynamic clamp";"Experimental sensorimotor synchronization tasks often involve isochronous stimuli. From different perspectives there are indications that inherent biological characteristics such as a natural degree of variability (e.g., Dotov et al., 2017) and mutual (rather than unidirectional) interdependence (e.g., Kostrubiec et al., 2015) facilitate entrainment. We pose that adaptively variable stimuli foster an agent’s rhythmic adaptability, which promotes sensorimotor and/or rhythmic behaviour more competently than moving to rhythmic sources that are/appear immutable and unnatural. Here we illustrate this alongside an auditory-motor tracking experiment with sound signals of periodic nature (P), complex nature (C), and complex but adaptive nature (AC).
A grouped acute learning design with pre-post-test comparison was adopted (Dotov & Froese, 2018). Thirty participants were randomly assigned to the P, C or AC learning group. They practiced in 40 trials to synchronize their sonified movement (i.e., oscillations of a hand-held IMU device were transformed into sound oscillations) with another auditory oscillating signal, depending on their group (see illustration).
 
For group P this involved a stimulus sound of which the pitch oscillated in a fixed sinusoidal manner. For group C, the stimulus pitch oscillated in a fixed, though less predictable manner, as modelled by a chaotic oscillator. For the AC group, chaotic stimulus oscillations were (weakly) coupled to the IMU movement signal. Crucially, this implied that when participants managed to anticipate the complex structure of the stimulus it also adapted in real-time to their movement oscillations. Hence, when they managed to deal with the complexity of the stimulus, their task became less complex because of the bidirectional adaptation. 
		
All three groups were compared pre- vs. post-learning based on windowed cross-correlation and between-signal RMSE in the two non-adaptive stimulus tasks P and C (5 times each, administered in counterbalanced order). These analyses suggested that all groups showed improvement in both the periodic and chaotic task (= general learning effect), and that the P group showed the least improvement. Notably, whereas the P and C group showed typical between-subject variation, in the AC group participants in fact showed quite homogeneous improvement. Furthermore, for AC the cross-correlations lags converged towards zero rather than negative asynchrony (as often observed for isochronous tasks). Considering the setting choices taken in this experiment (coupling strength, degree of complexity, etc.), these outcomes provide promising incentives that adaptively variable stimuli indeed foster rhythmic sensorimotor performance and merits further empirical endeavours in this regard. 


Dotov, D., & Froese, T. (2018). Entraining chaotic dynamics: a novel movement sonification paradigm could promote generalization. Human movement science, 61, 27-41.

Dotov, D. G., Bayard, S., de Cock, V. C., Geny, C., Driss, V., Garrigue, G., Bardy, B. & Dalla Bella, S. (2017). Biologically-variable rhythmic auditory cues are superior to isochronous cues in fostering natural gait variability in Parkinson’s disease. Gait & posture, 51, 64-69.

Kostrubiec, V., Dumas, G., Zanone, P. G., & Kelso, J. S. (2015). The virtual teacher (VT) paradigm: learning new patterns of interpersonal coordination using the human dynamic clamp. PloS one, 10(11), e0142029.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/111%20de-poel.mp4?vrtx=view-as-webpage;;
;30;SMS (S3);Edward Large;Lauren Fink, Prescott Alexander and Petr Janata;The influence of metronome adaptivity and auditory feedback on group tapping;"sensorimotor synchronization
adaptive metronome
group tapping
groove
synchrony";"When humans interact together in motoric synchrony, they are more likely to exhibit cooperative behavior, successful joint actions, trust of others, and altruism (Valdesolo, Ouyang, & DeSteno, 2010; Wiltermuth & Heath, 2009). While such benefits occur during pure motor synchrony – for example, walking in step together – using music to organize movement is a powerful temporal cue and culturally relevant activity. The use of music, or even just a metronome, can enhance cooperative behavior (Kniffen, Yan, Wansink, & Schulze, 2017; Wiltermuth & Heath, 2009), as well as feelings of synchronization or connection with others (Fairhurst, Janata, & Keller, 2013, 2014; Hove & Risen, 2009; Zhang, Dumas, Kelso, & Tognoli, 2016). Importantly, however, the degree to which individuals can synchronize with each other depends on their ability to perceive the timing of others’ actions and produce motor movements accordingly. Here, we introduce an adaptive device that can be used to enhance synchronization abilities within and across individuals. 
Unlike previous adaptive metronomes, ours is implemented on Arduino Uno circuit boards, allowing for negligible temporal latency between player input and adaptive sonic output. Across five experiments, we 1) replicate previous single-person adaptive metronome findings (Fairhurst, Janata, & Keller, 2013), 2) extend the use of an adaptive metronome to a multi-person scenario, and 3) analyze the effects of auditory feedback on tapping performance and subjective ratings of performance quality and emotions. In all experiments, player synchronization with the metronome was significantly enhanced with 25-50% adaptivity, compared to no adaptation. In group experiments with auditory feedback, synchrony remained enhanced even at 70-100% adaptivity; when feedback was removed, synchrony at these adaptivity levels returned to near baseline. Subjective ratings of being in the groove, in synchrony with the metronome, in synchrony with others, liking the task, difficulty of the task, and influence over the metronome all could be reduced to one latent factor, which we have termed, enjoyment. The same factor structure replicated across all experiments. In predicting participants’ enjoyment score, we found a significant interaction between auditory feedback and metronome adaptivity. Specifically, participants experienced an increase in enjoyment at optimal levels of adaptivity when they received auditory feedback, and a severe decrease in enjoyment at higher levels of adaptivity when they had no auditory feedback. Exploratory analyses relating personality factors to tapping performance will also be discussed. 

References: 
Fairhurst, M. T., Janata, P., & Keller, P. E. (2013). Being and feeling in sync with an adaptive virtual partner: brain mechanisms underlying dynamic cooperativity. Cereb Cortex, 23(11), 2592-2600. doi:10.1093/cercor/bhs243
Fairhurst, M. T., Janata, P., & Keller, P. E. (2014). Leading the follower: an fMRI investigation of dynamic cooperativity and leader-follower strategies in synchronization with an adaptive virtual partner. Neuroimage, 84, 688-697. doi:10.1016/j.neuroimage.2013.09.027
Hove, M. J., & Risen, J. L. (2009). It's all in the timing: Interpersonal synchrony increases affiliation. Social Cognition, 27(6), 949-961. 
Kniffen, K., Yan, J., Wansink, B., & Schulze, W. (2017). The sound of cooperation: Musical influences on cooperative behavior. J. Organiz. Behav., 38, 372–390. doi:10.1002/job.2128 
Valdesolo, P., Ouyang, J., & DeSteno, D. (2010). The rhythm of joint action: Synchrony promotes cooperative ability. Journal of Experimental Social Psychology, 46(4), 693-695. doi:10.1016/j.jesp.2010.03.004
Wiltermuth, S. S., & Heath, C. (2009). Synchrony and Cooperation. Psychological Science, 20(1), 1-5. 
Zhang, M., Dumas, G., Kelso, J. A., & Tognoli, E. (2016). Enhanced emotional responses during social coordination with a virtual partner. Int J Psychophysiol, 104, 33-43. doi:10.1016/j.ijpsycho.2016.04.001";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/30%20fink.mp4?vrtx=view-as-webpage;;
;24;SMS (S4);Marc Leman;Thomas Kaplan, Jonathan Cannon, Lorenzo Jamone and Marcus Pearce;Modelling entrainment as continuous bayesian inference using learned rhythmic prototypes;"categorical rhythm perception
cognitive modelling
bayesian inference
rhythmic prototypes";"Grammar-like models of musical rhythm have been used to demonstrate how a listener's metrical expectations resemble temporal patterns learned from score-based musical rhythms (Lerdahl & Jackendoff, 1983; Temperley, 2010; Van der Weij, 2020). Outside of notated representations of musical rhythm, it has been proposed that these schematic expectations help to categorise non-uniform rhythms (Honing, 2013), yet it remains unclear how patterns of expressive timing influence both the formation of these schematic expectations and entrainment in the context of these expectations.

	In order to investigate this question, we propose that the dynamic perception of musical rhythms can be expressed---at a cognitive level---as the problem of continuously aligning the auditory rhythm (event-based in continuous time) with rhythmic prototypes (symbolic sequences) learned through musical enculturation. Here we present a computational model capable of such entrainment: a model of auditory expectation based on statistical learning (Pearce, 2018) is used to derive a temporal expectation template, which is deployed in a process of variational Bayesian inference that continuously estimates posterior probabilities of onset phase in a stimulus rhythm (Cannon, 2021). Crucially, the latter model maintains precise timing expectations with respect to schematic expectations provided by the former model.

	As a preliminary assessment of the model, we simulate the iterated reproduction of random three-interval rhythms in accordance with the method used by Jacoby & McDermott (2017), to demonstrate how our model, just like participants, is biased towards perception of prototypical integer-ratios between intervals. Learned posterior distributions of event timing in a given iteration are used to create the stimulus rhythm in the subsequent iteration, as an approximation of finger-taps. Two models were configured with different cultural corpora, to highlight the influence of differing rhythmic prototypes: German folksongs (Schaffrath & Huron, 1995), and Turkish Makam music (Karaosmanoğlu, 2012). Both models converge on rhythms related by simple small-integer ratios (e.g. 1:1:1, 1:1:2, 2:1:1), yet also diverge at some more complex ratios (e.g. 2:2:3). This divergence reflects differences in schematic expectations acquired through simulated enculturation, and contributes further evidence towards the proposal that music-cultural environments shape the rhythmic prototypes which constrain rhythm perception (Polak et al., 2018).

	The model presented serves as a basis for analysing the rhythmic prototypes which continuously guide our listening to auditory rhythms, and how these depend on training and culture. Further to existing work that demonstrates how patterns of rhythm production can  be related to the frequency of patterns in (symbolic) music corpora using Bayesian inference (Sadakata et al., 2006), the model allows detailed analysis of how these prototypical patterns are dynamically inferred and aligned with an auditory rhythm. In future work we will use this model to explore the dynamic perception of musical rhythms with natural timing fluctuations and micro-rhythmic features, where metrical expectations vary in temporal precision (Danielsen, 2018).


References:
- Cannon, J. (2021). Expectancy-based rhythmic entrainment as continuous Bayesian inference. bioRxiv. 
- Danielsen, A. Pulse as Dynamic Attending. Analysing Beat Bin Metre in Neo Soul Grooves. In:The Routledge Companion to Popular Music Analysis. Routledge, 2018, pp.179–189.
- Honing, H. Structure and Interpretation of Rhythm in Music. In:The Psychology of Music. Elsevier, 2013, pp. 369–404.
- Jacoby, N., & McDermott, J. H. (2017). Integer ratio priors on musical rhythm revealed cross-culturally by iterated reproduction. Current Biology, 27(3), 359–370.
- Karaosmanoğlu, M. K. A Turkish makam music symbolic database for music information retrieval: SymbTr. In:Proc. of the 13th Int. Society for Music Information Retrieval Conf. 2012, 223–228.
- Lerdahl, F., & Jackendoff, R. (1983). An overview of hierarchical structure in music. Music Perception, 1(2), 229–252.
- Pearce, M. T. (2018). Statistical learning and probabilistic prediction in music cognition: Mechanisms of stylistic enculturation. Annals of the New York Academy of Sciences, 1423(1), 378–395.
- Polak, R., Jacoby, N., Fischinger, T., Goldberg, D., Holzapfel, A., & London, J. (2018). Rhythmic prototypes across cultures. Music Perception, 36(1), 1–23.
- Sadakata, M., Desain, P., & Honing, H. (2006). The Bayesian way to relate rhythm perception and production. Music Perception, 23(3), 269–288.
- Schaffrath, H., & Huron, D. (1995). The Essen Folksong Collection in kern format. [Retrieved 2020]. https://kern.humdrum.org/cgi-bin/browse?l=essen
- Temperley, D. (2010). Modeling common-practice rhythm. Music Perception, 27(5), 355–376. 
- Van der Weij, B. (2020). Experienced listeners: Modeling the influence of long-term musical exposure on rhythm perception (Doctoral dissertation). Amsterdam Institute for Logic, Language and Computation.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/24%20kaplan.m4v?vrtx=view-as-webpage;;
